checkpoint,run,score,player
checkpoint-3518,1,36,GREEDY
checkpoint-3518,1,43,AGGRESSIVE
checkpoint-3518,1,37,NN
checkpoint-3518,1,37,DEFENSIVE
checkpoint-3518,2,36,AGGRESSIVE
checkpoint-3518,2,36,DEFENSIVE
checkpoint-3518,2,38,GREEDY
checkpoint-3518,2,49,NN
checkpoint-3518,3,37,AGGRESSIVE
checkpoint-3518,3,36,DEFENSIVE
checkpoint-3518,3,44,GREEDY
checkpoint-3518,3,60,NN
checkpoint-3518,4,36,NN
checkpoint-3518,4,36,AGGRESSIVE
checkpoint-3518,4,36,GREEDY
checkpoint-3518,4,36,DEFENSIVE
checkpoint-3518,5,36,NN
checkpoint-3518,5,36,DEFENSIVE
checkpoint-3518,5,51,AGGRESSIVE
checkpoint-3518,5,36,GREEDY
checkpoint-3518,6,36,NN
checkpoint-3518,6,40,AGGRESSIVE
checkpoint-3518,6,36,GREEDY
checkpoint-3518,6,36,DEFENSIVE
checkpoint-3518,7,36,NN
checkpoint-3518,7,37,AGGRESSIVE
checkpoint-3518,7,0,GREEDY
checkpoint-3518,7,0,DEFENSIVE
checkpoint-3518,8,0,AGGRESSIVE
checkpoint-3518,8,0,GREEDY
checkpoint-3518,8,0,NN
checkpoint-3518,8,0,DEFENSIVE
checkpoint-3518,9,0,NN
checkpoint-3518,9,0,AGGRESSIVE
checkpoint-3518,9,0,GREEDY
checkpoint-3518,9,0,DEFENSIVE
checkpoint-3518,10,0,AGGRESSIVE
checkpoint-3518,10,0,NN
checkpoint-3518,10,0,DEFENSIVE
checkpoint-3518,10,0,GREEDY
checkpoint-3518,11,0,NN
checkpoint-3518,11,0,GREEDY
checkpoint-3518,11,0,AGGRESSIVE
checkpoint-3518,11,0,DEFENSIVE
checkpoint-3518,12,0,NN
checkpoint-3518,12,0,AGGRESSIVE
checkpoint-3518,12,43,GREEDY
checkpoint-3518,12,36,DEFENSIVE
checkpoint-3518,13,36,DEFENSIVE
checkpoint-3518,13,38,GREEDY
checkpoint-3518,13,44,NN
checkpoint-3518,13,39,AGGRESSIVE
checkpoint-3518,14,36,AGGRESSIVE
checkpoint-3518,14,40,NN
checkpoint-3518,14,36,DEFENSIVE
checkpoint-3518,14,37,GREEDY
checkpoint-3518,15,37,NN
checkpoint-3518,15,37,GREEDY
checkpoint-3518,15,36,AGGRESSIVE
checkpoint-3518,15,36,DEFENSIVE
checkpoint-3518,16,36,NN
checkpoint-3518,16,36,AGGRESSIVE
checkpoint-3518,16,43,GREEDY
checkpoint-3518,16,36,DEFENSIVE
checkpoint-3518,17,38,NN
checkpoint-3518,17,36,DEFENSIVE
checkpoint-3518,17,37,AGGRESSIVE
checkpoint-3518,17,39,GREEDY
checkpoint-3518,18,36,NN
checkpoint-3518,18,38,AGGRESSIVE
checkpoint-3518,18,36,GREEDY
checkpoint-3518,18,36,DEFENSIVE
checkpoint-3518,19,36,NN
checkpoint-3518,19,36,AGGRESSIVE
checkpoint-3518,19,36,GREEDY
checkpoint-3518,19,0,DEFENSIVE
checkpoint-3518,20,37,NN
checkpoint-3518,20,36,AGGRESSIVE
checkpoint-3518,20,36,GREEDY
checkpoint-3518,20,36,DEFENSIVE
checkpoint-3518,21,0,NN
checkpoint-3518,21,36,GREEDY
checkpoint-3518,21,0,AGGRESSIVE
checkpoint-3518,21,0,DEFENSIVE
checkpoint-3518,22,0,AGGRESSIVE
checkpoint-3518,22,0,GREEDY
checkpoint-3518,22,0,NN
checkpoint-3518,22,0,DEFENSIVE
checkpoint-3518,23,0,NN
checkpoint-3518,23,0,AGGRESSIVE
checkpoint-4006,0,36,GREEDY
checkpoint-4006,0,38,NN
checkpoint-4006,0,44,AGGRESSIVE
checkpoint-4006,0,38,DEFENSIVE
checkpoint-4006,1,36,DEFENSIVE
checkpoint-4006,1,36,NN
checkpoint-4006,1,37,AGGRESSIVE
checkpoint-4006,1,52,GREEDY
checkpoint-4006,2,36,AGGRESSIVE
checkpoint-4006,2,38,DEFENSIVE
checkpoint-4006,2,42,NN
checkpoint-4006,2,38,GREEDY
checkpoint-4006,3,36,AGGRESSIVE
checkpoint-4006,3,36,NN
checkpoint-4006,3,36,DEFENSIVE
checkpoint-4006,3,38,GREEDY
checkpoint-4006,4,36,NN
